refYear,continent,flow,product,value_usd
2018,Americas,Import,Gaseous NG (271121),10956855869.946
2018,Americas,Import,LNG (271111),4274413023.833
2018,Asia,Export,Gaseous NG (271121),8985562889.455
2018,Asia,Export,LNG (271111),43779680207.403
2018,Asia,Import,Gaseous NG (271121),18616622558.208
2018,Asia,Import,LNG (271111),111874518929.404
2018,Europe,Export,Gaseous NG (271121),53483758704.989
2018,Europe,Export,LNG (271111),7938532629.385
2018,Europe,Import,Gaseous NG (271121),107236127252.022
2018,Europe,Import,LNG (271111),14841253133.352
2018,Oceania,Export,Gaseous NG (271121),10759.652
2018,Oceania,Export,LNG (271111),283166235.451
2018,Oceania,Import,Gaseous NG (271121),6086.318
2018,Oceania,Import,LNG (271111),42966823.584
2019,Africa,Export,Gaseous NG (271121),294305.57700000005
2019,Africa,Export,LNG (271111),2540743225.554
2019,Africa,Import,Gaseous NG (271121),255177874.501
2019,Africa,Import,LNG (271111),329879586.702
2019,Americas,Export,Gaseous NG (271121),9827309993.529
2019,Americas,Export,LNG (271111),632479258.257
2019,Americas,Import,Gaseous NG (271121),10744305986.392
2019,Americas,Import,LNG (271111),2963857600.972
2019,Asia,Export,Gaseous NG (271121),13600893623.175
2019,Asia,Export,LNG (271111),66479753380.752
2019,Asia,Import,Gaseous NG (271121),22371532605.942
2019,Asia,Import,LNG (271111),107503390717.776
2019,Europe,Export,Gaseous NG (271121),41101875979.56
2019,Europe,Export,LNG (271111),9198914373.804
2019,Europe,Import,Gaseous NG (271121),82344643212.87
2019,Europe,Import,LNG (271111),20534307513.802
2019,Oceania,Export,Gaseous NG (271121),2515.811
2019,Oceania,Export,LNG (271111),29702558.483000003
2019,Oceania,Import,LNG (271111),5414.023999999999
2020,Africa,Export,Gaseous NG (271121),35475.967
2020,Africa,Export,LNG (271111),5357263104.952
2020,Africa,Import,Gaseous NG (271121),139725832.724
2020,Africa,Import,LNG (271111),621112740.666
2020,Americas,Export,Gaseous NG (271121),7313854282.561
2020,Americas,Export,LNG (271111),170771844.38
2020,Americas,Import,Gaseous NG (271121),8212707035.104
2020,Americas,Import,LNG (271111),1824858846.919
2020,Asia,Export,Gaseous NG (271121),10554458092.688
2020,Asia,Export,LNG (271111),13420285088.667
2020,Asia,Import,Gaseous NG (271121),20550537519.872
2020,Asia,Import,LNG (271111),83519256229.624
2020,Europe,Export,Gaseous NG (271121),26829279813.655
2020,Europe,Export,LNG (271111),7440023108.186
2020,Europe,Import,Gaseous NG (271121),55523720860.421
2020,Europe,Import,LNG (271111),13690953764.677
2020,Oceania,Export,Gaseous NG (271121),1301.914
2020,Oceania,Export,LNG (271111),1548850.236
2020,Oceania,Import,Gaseous NG (271121),6789.062
2020,Oceania,Import,LNG (271111),22568771.647
2021,Africa,Export,Gaseous NG (271121),19763.038
2021,Africa,Export,LNG (271111),11956378347.93
2021,Africa,Import,Gaseous NG (271121),159353566.942
2021,Africa,Import,LNG (271111),1266097179.316
2021,Americas,Export,Gaseous NG (271121),12972857289.322
2021,Americas,Export,LNG (271111),58366907.902
2021,Americas,Import,Gaseous NG (271121),16785301612.491
2021,Americas,Import,LNG (271111),7176418870.603
