period,product,value_usd
2015-10-01,LNG (271111),7030308238.473
2015-11-01,Gaseous NG (271121),9323617048.569
2015-11-01,LNG (271111),6781423051.75
2015-12-01,LNG (271111),7436479794.299
2015-12-01,Gaseous NG (271121),9738528888.628
2016-01-01,Gaseous NG (271121),10007303483.395
2016-01-01,LNG (271111),7225797628.298
2016-02-01,Gaseous NG (271121),8763131474.436
2016-02-01,LNG (271111),6550192632.726
2016-03-01,Gaseous NG (271121),8402445217.797
2016-03-01,LNG (271111),6717018861.951
2016-04-01,Gaseous NG (271121),7250838057.165
2016-04-01,LNG (271111),5273796517.2699995
2016-05-01,LNG (271111),4731982517.714
2016-05-01,Gaseous NG (271121),6633176525.344
2016-06-01,LNG (271111),5088719559.406
2016-06-01,Gaseous NG (271121),6287547592.229
2016-07-01,Gaseous NG (271121),6990816327.726999
2016-07-01,LNG (271111),5137722598.245
2016-08-01,Gaseous NG (271121),7702893051.767
2016-08-01,LNG (271111),5944357623.711
2016-09-01,Gaseous NG (271121),7491357721.797
2016-09-01,LNG (271111),6223568181.449
2016-10-01,Gaseous NG (271121),8735166540.188
2016-10-01,LNG (271111),6050053732.335
2016-11-01,LNG (271111),6996318767.578
2016-11-01,Gaseous NG (271121),10158482301.89
2016-12-01,Gaseous NG (271121),10814410723.939999
2016-12-01,LNG (271111),7571558757.227
2017-01-01,Gaseous NG (271121),11475603392.764
2017-01-01,LNG (271111),8382617501.047
2017-02-01,Gaseous NG (271121),10832651780.017
2017-02-01,LNG (271111),8069030894.28
2017-03-01,Gaseous NG (271121),9617627334.756
2017-03-01,LNG (271111),8196799686.385
2017-04-01,Gaseous NG (271121),9048035861.036
2017-04-01,LNG (271111),6898514398.667
2017-05-01,Gaseous NG (271121),8660665194.218
2017-05-01,LNG (271111),7630907733.019
2017-06-01,LNG (271111),7970534251.575
2017-06-01,Gaseous NG (271121),8125009316.272
2017-07-01,Gaseous NG (271121),8282917348.473001
2017-07-01,LNG (271111),7822993295.114
2017-08-01,Gaseous NG (271121),8320915581.873
2017-08-01,LNG (271111),8137293143.224
2017-09-01,Gaseous NG (271121),9002226968.812
2017-09-01,LNG (271111),7302202265.471
2017-10-01,Gaseous NG (271121),9988064025.927
2017-10-01,LNG (271111),7594976099.938
2017-11-01,LNG (271111),8218703491.405
2017-11-01,Gaseous NG (271121),10928150681.623001
2017-12-01,Gaseous NG (271121),12768821186.838
2017-12-01,LNG (271111),9799983759.805
2018-01-01,Gaseous NG (271121),13789700387.569
2018-01-01,LNG (271111),10769691528.602
2018-02-01,Gaseous NG (271121),13277035927.427
2018-02-01,LNG (271111),10520323512.68
2018-03-01,Gaseous NG (271121),14836069230.989
2018-03-01,LNG (271111),10360497625.988
2018-04-01,LNG (271111),8821491755.44
2018-04-01,Gaseous NG (271121),10428699458.027
2018-05-01,LNG (271111),9813666547.608
2018-05-01,Gaseous NG (271121),10283128858.322
2018-06-01,Gaseous NG (271121),10035906921.724
2018-06-01,LNG (271111),10029203324.475
2018-07-01,Gaseous NG (271121),11129892971.916
2018-07-01,LNG (271111),10537105093.411
2018-08-01,Gaseous NG (271121),11073667537.044
2018-08-01,LNG (271111),11724374743.115
2018-09-01,Gaseous NG (271121),11713747524.852
2018-09-01,LNG (271111),11049036283.688
2018-10-01,LNG (271111),12436087760.09
2018-10-01,Gaseous NG (271121),12213488932.299
2018-11-01,Gaseous NG (271121),12676235257.546999
2018-11-01,LNG (271111),12999471203.362999
2018-12-01,Gaseous NG (271121),13444760423.86
2018-12-01,LNG (271111),14342788369.644
2019-01-01,Gaseous NG (271121),14451976053.259
2019-01-01,LNG (271111),14307099608.524
2019-02-01,Gaseous NG (271121),12910951768.982
2019-02-01,LNG (271111),11901380596.352
2019-03-01,Gaseous NG (271121),12051720664.612999
2019-03-01,LNG (271111),11574274152.708
2019-04-01,LNG (271111),10774452658.246
2019-04-01,Gaseous NG (271121),10079601428.653
2019-05-01,Gaseous NG (271121),10066981749.592
2019-05-01,LNG (271111),10406517255.336
2019-06-01,Gaseous NG (271121),9169935287.718
2019-06-01,LNG (271111),9692999487.07
2019-07-01,Gaseous NG (271121),9074823160.184
2019-07-01,LNG (271111),10725466219.132
2019-08-01,Gaseous NG (271121),8317717377.066
2019-08-01,LNG (271111),10627166137.348
2019-09-01,LNG (271111),10113681575.327
2019-09-01,Gaseous NG (271121),8009806086.281
2019-10-01,Gaseous NG (271121),8540927233.193
2019-10-01,LNG (271111),9618573700.678
2019-11-01,Gaseous NG (271121),9822924912.731
2019-11-01,LNG (271111),10775849928.457
2019-12-01,Gaseous NG (271121),10567823377.611
2019-12-01,LNG (271111),11792598383.258
2020-01-01,Gaseous NG (271121),9363384326.055
2020-01-01,LNG (271111),12441171608.734
2020-02-01,LNG (271111),10261796263.457
2020-02-01,Gaseous NG (271121),8312590218.441
2020-03-01,LNG (271111),10201608583.653
2020-03-01,Gaseous NG (271121),8036126530.843
2020-04-01,Gaseous NG (271121),6494902828.608
2020-04-01,LNG (271111),8612865473.138
2020-05-01,Gaseous NG (271121),5889806844.332
2020-05-01,LNG (271111),7770171920.989
2020-06-01,Gaseous NG (271121),5576428451.227
2020-06-01,LNG (271111),7465067723.133
2020-07-01,Gaseous NG (271121),6057181091.948999
2020-07-01,LNG (271111),6913268184.727
2020-08-01,LNG (271111),6046038572.338
2020-08-01,Gaseous NG (271121),6398512239.024
2020-09-01,Gaseous NG (271121),6822946381.221
2020-09-01,LNG (271111),6290767537.127
2020-10-01,Gaseous NG (271121),8106396945.577001
2020-10-01,LNG (271111),6690320133.765
2020-11-01,Gaseous NG (271121),8859175958.36
2020-11-01,LNG (271111),7665567007.04
2020-12-01,Gaseous NG (271121),9895662653.813
2020-12-01,LNG (271111),9944582660.775
2021-01-01,Gaseous NG (271121),12557530048.286
2021-01-01,LNG (271111),11232223395.164
2021-02-01,LNG (271111),12218510883.518
2021-02-01,Gaseous NG (271121),11495595838.034
2021-03-01,LNG (271111),11086076606.036
2021-03-01,Gaseous NG (271121),13518402713.428999
2021-04-01,Gaseous NG (271121),10147776710.215
2021-04-01,LNG (271111),9830831543.219
2021-05-01,Gaseous NG (271121),10719778266.691
2021-05-01,LNG (271111),10495207760.367
2021-06-01,Gaseous NG (271121),10387048301.628
2021-06-01,LNG (271111),11704856419.354
2021-07-01,Gaseous NG (271121),12752094757.4
2021-07-01,LNG (271111),12234630712.195
2021-08-01,Gaseous NG (271121),14772706102.973999
2021-08-01,LNG (271111),13622703944.894001
2021-09-01,LNG (271111),14850049630.35
2021-09-01,Gaseous NG (271121),16085465357.745
2021-10-01,Gaseous NG (271121),23655509806.924
2021-10-01,LNG (271111),17121740355.875
2021-11-01,Gaseous NG (271121),24571248367.282
2021-11-01,LNG (271111),22835434830.488
2021-12-01,Gaseous NG (271121),31428594247.257
2021-12-01,LNG (271111),27601910487.212
2022-01-01,Gaseous NG (271121),31719743792.976
2022-01-01,LNG (271111),32889150922.646
2022-02-01,LNG (271111),25612427648.56
2022-02-01,Gaseous NG (271121),26333405562.835
2022-03-01,Gaseous NG (271121),32315314076.487
2022-03-01,LNG (271111),28379904661.849
2022-04-01,Gaseous NG (271121),31490209952.53
2022-04-01,LNG (271111),27280121113.918
2022-05-01,Gaseous NG (271121),27253593531.42
2022-05-01,LNG (271111),26278967437.943
2022-06-01,Gaseous NG (271121),24420510985.751
2022-06-01,LNG (271111),23392930909.058
2022-07-01,LNG (271111),27740337306.255
2022-07-01,Gaseous NG (271121),31557649318.086
2022-08-01,Gaseous NG (271121),41170421052.324
2022-08-01,LNG (271111),33575313339.198
2022-09-01,Gaseous NG (271121),37413414521.946
2022-09-01,LNG (271111),40774394147.748
2022-10-01,Gaseous NG (271121),27740752664.217
2022-10-01,LNG (271111),30704696750.188
2022-11-01,Gaseous NG (271121),25634859480.598
2022-11-01,LNG (271111),31731419682.576
2022-12-01,Gaseous NG (271121),34839461579.995
2022-12-01,LNG (271111),35064125742.141
2023-01-01,LNG (271111),34710520595.395996
2023-01-01,Gaseous NG (271121),27516888330.546
2023-02-01,Gaseous NG (271121),22167778607.856
2023-02-01,LNG (271111),27713647853.158
2023-03-01,Gaseous NG (271121),21653713532.589
2023-03-01,LNG (271111),23642056504.144
2023-04-01,Gaseous NG (271121),17732456499.911
2023-04-01,LNG (271111),19517826669.76
2023-05-01,Gaseous NG (271121),15243201772.272
2023-05-01,LNG (271111),20530912854.044
2023-06-01,LNG (271111),16969739388.747
2023-06-01,Gaseous NG (271121),12975841219.671
2023-07-01,Gaseous NG (271121),13749029126.063
2023-07-01,LNG (271111),16297683644.952
2023-08-01,Gaseous NG (271121),14085349972.42
2023-08-01,LNG (271111),17117452048.098
2023-09-01,Gaseous NG (271121),11609610227.94
2023-09-01,LNG (271111),16077463040.75
2023-10-01,Gaseous NG (271121),13745374225.8
2023-10-01,LNG (271111),16303950677.294
2023-11-01,LNG (271111),19105294672.967
2023-11-01,Gaseous NG (271121),15174312926.827
2023-12-01,LNG (271111),23617382218.716
2023-12-01,Gaseous NG (271121),16322142353.872
2024-01-01,Gaseous NG (271121),13742973080.296
2024-01-01,LNG (271111),21005425444.086
2024-02-01,Gaseous NG (271121),11675378851.725
2024-02-01,LNG (271111),18360116529.304
2024-03-01,Gaseous NG (271121),11661126943.612
2024-03-01,LNG (271111),16247414431.279
2024-04-01,Gaseous NG (271121),11208588947.774
2024-04-01,LNG (271111),15478220682.287
2024-05-01,LNG (271111),16428679344.07
2024-05-01,Gaseous NG (271121),11801174402.589
2024-06-01,Gaseous NG (271121),12411202759.027
2024-06-01,LNG (271111),14719528825.705
2024-07-01,Gaseous NG (271121),11640610928.996
2024-07-01,LNG (271111),16281984747.066
2024-08-01,Gaseous NG (271121),13025980903.651
2024-08-01,LNG (271111),17004920273.174
2024-09-01,Gaseous NG (271121),10647441122.942
2024-09-01,LNG (271111),16377802211.68
2024-10-01,Gaseous NG (271121),11357623917.327
2024-10-01,LNG (271111),17909045242.101
2024-11-01,Gaseous NG (271121),13134547095.294
2024-11-01,LNG (271111),16807644334.62
2024-12-01,Gaseous NG (271121),13671446919.863
2024-12-01,LNG (271111),19580231893.869
