refYear,month,product,value_usd
2020,12,Gaseous NG (271121),9895662653.813
2020,12,LNG (271111),9944582660.775
2021,1,Gaseous NG (271121),12557530048.286
2021,1,LNG (271111),11232223395.164
2021,2,Gaseous NG (271121),11495595838.034
2021,2,LNG (271111),12218510883.518
2021,3,Gaseous NG (271121),13518402713.428999
2021,3,LNG (271111),11086076606.036
2021,4,Gaseous NG (271121),10147776710.215
2021,4,LNG (271111),9830831543.219
2021,5,Gaseous NG (271121),10719778266.691
2021,5,LNG (271111),10495207760.367
2021,6,Gaseous NG (271121),10387048301.628
2021,6,LNG (271111),11704856419.354
2021,7,Gaseous NG (271121),12752094757.4
2021,7,LNG (271111),12234630712.195
2021,8,Gaseous NG (271121),14772706102.973999
2021,8,LNG (271111),13622703944.894001
2021,9,Gaseous NG (271121),16085465357.745
2021,9,LNG (271111),14850049630.35
2021,10,Gaseous NG (271121),23655509806.924
2021,10,LNG (271111),17121740355.875
2021,11,Gaseous NG (271121),24571248367.282
2021,11,LNG (271111),22835434830.488
2021,12,Gaseous NG (271121),31428594247.257
2021,12,LNG (271111),27601910487.212
2022,1,Gaseous NG (271121),31719743792.976
2022,1,LNG (271111),32889150922.646
2022,2,Gaseous NG (271121),26333405562.835
2022,2,LNG (271111),25612427648.56
2022,3,Gaseous NG (271121),32315314076.487
2022,3,LNG (271111),28379904661.849
2022,4,Gaseous NG (271121),31490209952.53
2022,4,LNG (271111),27280121113.918
2022,5,Gaseous NG (271121),27253593531.42
2022,5,LNG (271111),26278967437.943
2022,6,Gaseous NG (271121),24420510985.751
2022,6,LNG (271111),23392930909.058
2022,7,Gaseous NG (271121),31557649318.086
2022,7,LNG (271111),27740337306.255
2022,8,Gaseous NG (271121),41170421052.324
2022,8,LNG (271111),33575313339.198
2022,9,Gaseous NG (271121),37413414521.946
2022,9,LNG (271111),40774394147.748
2022,10,Gaseous NG (271121),27740752664.217
2022,10,LNG (271111),30704696750.188
2022,11,Gaseous NG (271121),25634859480.598
2022,11,LNG (271111),31731419682.576
2022,12,Gaseous NG (271121),34839461579.995
2022,12,LNG (271111),35064125742.141
2023,1,Gaseous NG (271121),27516888330.546
2023,1,LNG (271111),34710520595.395996
2023,2,Gaseous NG (271121),22167778607.856
2023,2,LNG (271111),27713647853.158
2023,3,Gaseous NG (271121),21653713532.589
2023,3,LNG (271111),23642056504.144
2023,4,Gaseous NG (271121),17732456499.911
2023,4,LNG (271111),19517826669.76
2023,5,Gaseous NG (271121),15243201772.272
2023,5,LNG (271111),20530912854.044
2023,6,Gaseous NG (271121),12975841219.671
2023,6,LNG (271111),16969739388.747
2023,7,Gaseous NG (271121),13749029126.063
2023,7,LNG (271111),16297683644.952
2023,8,Gaseous NG (271121),14085349972.42
2023,8,LNG (271111),17117452048.098
2023,9,Gaseous NG (271121),11609610227.94
2023,9,LNG (271111),16077463040.75
2023,10,Gaseous NG (271121),13745374225.8
2023,10,LNG (271111),16303950677.294
2023,11,Gaseous NG (271121),15174312926.827
2023,11,LNG (271111),19105294672.967
2023,12,Gaseous NG (271121),16322142353.872
2023,12,LNG (271111),23617382218.716
2024,1,Gaseous NG (271121),13742973080.296
2024,1,LNG (271111),21005425444.086
2024,2,Gaseous NG (271121),11675378851.725
2024,2,LNG (271111),18360116529.304
2024,3,Gaseous NG (271121),11661126943.612
2024,3,LNG (271111),16247414431.279
2024,4,Gaseous NG (271121),11208588947.774
2024,4,LNG (271111),15478220682.287
2024,5,Gaseous NG (271121),11801174402.589
2024,5,LNG (271111),16428679344.07
2024,6,Gaseous NG (271121),12411202759.027
2024,6,LNG (271111),14719528825.705
2024,7,Gaseous NG (271121),11640610928.996
2024,7,LNG (271111),16281984747.066
2024,8,Gaseous NG (271121),13025980903.651
2024,8,LNG (271111),17004920273.174
2024,9,Gaseous NG (271121),10647441122.942
2024,9,LNG (271111),16377802211.68
2024,10,Gaseous NG (271121),11357623917.327
2024,10,LNG (271111),17909045242.101
2024,11,Gaseous NG (271121),13134547095.294
2024,11,LNG (271111),16807644334.62
2024,12,Gaseous NG (271121),13671446919.863
2024,12,LNG (271111),19580231893.869
