refYear,month,product,value_usd,annual_total_usd,share,regime
2014,12,Gaseous NG (271121),14221671546.14,157996381511.404,0.09001264085983827,Pre-COVID
2014,12,LNG (271111),13645413678.745,146117471546.09,0.09338659870281708,Pre-COVID
2015,1,Gaseous NG (271121),12998059998.148,123425714979.724,0.10531079362419155,Pre-COVID
2015,1,LNG (271111),12897753461.9,96314821248.977,0.13391244768610305,Pre-COVID
2015,2,Gaseous NG (271121),12467428357.998,123425714979.724,0.10101159519348225,Pre-COVID
2015,2,LNG (271111),10124532973.655,96314821248.977,0.10511915863377608,Pre-COVID
2015,3,Gaseous NG (271121),11197653618.437,123425714979.724,0.0907238302834747,Pre-COVID
2015,3,LNG (271111),9902524467.276001,96314821248.977,0.10281412911183885,Pre-COVID
2015,4,Gaseous NG (271121),10189999807.114,123425714979.724,0.0825597794494282,Pre-COVID
2015,4,LNG (271111),7775314931.543,96314821248.977,0.0807281250249487,Pre-COVID
2015,5,Gaseous NG (271121),9517143946.997,123425714979.724,0.07710827479152499,Pre-COVID
2015,5,LNG (271111),6580544139.32,96314821248.977,0.06832327625162772,Pre-COVID
2015,6,Gaseous NG (271121),9384129416.726,123425714979.724,0.07603058583268159,Pre-COVID
2015,6,LNG (271111),6521115648.458,96314821248.977,0.06770625293069589,Pre-COVID
2015,7,Gaseous NG (271121),9798801002.358,123425714979.724,0.07939027133825165,Pre-COVID
2015,7,LNG (271111),7133192937.856,96314821248.977,0.07406121763354012,Pre-COVID
2015,8,Gaseous NG (271121),9468191760.848,123425714979.724,0.07671166225290577,Pre-COVID
2015,8,LNG (271111),6866932032.81,96314821248.977,0.07129673235917403,Pre-COVID
2015,9,Gaseous NG (271121),9403528711.834,123425714979.724,0.07618775968507684,Pre-COVID
2015,9,LNG (271111),7264699571.637,96314821248.977,0.07542660078096922,Pre-COVID
2015,10,Gaseous NG (271121),9938632422.067,123425714979.724,0.08052319100359019,Pre-COVID
2015,10,LNG (271111),7030308238.473,96314821248.977,0.07299300509834743,Pre-COVID
2015,11,Gaseous NG (271121),9323617048.569,123425714979.724,0.0755403122444999,Pre-COVID
2015,11,LNG (271111),6781423051.75,96314821248.977,0.070408925270388,Pre-COVID
2015,12,Gaseous NG (271121),9738528888.628,123425714979.724,0.07890194430089237,Pre-COVID
2015,12,LNG (271111),7436479794.299,96314821248.977,0.07721012921859091,Pre-COVID
2016,1,Gaseous NG (271121),10007303483.395,99237569017.675,0.10084188460534155,Pre-COVID
2016,1,LNG (271111),7225797628.298,73511087377.91,0.09829534409076561,Pre-COVID
2016,2,Gaseous NG (271121),8763131474.436,99237569017.675,0.08830457619205904,Pre-COVID
2016,2,LNG (271111),6550192632.726,73511087377.91,0.0891048257666547,Pre-COVID
2016,3,Gaseous NG (271121),8402445217.797,99237569017.675,0.08467000250984037,Pre-COVID
2016,3,LNG (271111),6717018861.951,73511087377.91,0.09137422804562481,Pre-COVID
2016,4,Gaseous NG (271121),7250838057.165,99237569017.675,0.07306545423209196,Pre-COVID
2016,4,LNG (271111),5273796517.2699995,73511087377.91,0.07174151145606328,Pre-COVID
2016,5,Gaseous NG (271121),6633176525.344,99237569017.675,0.06684138467924963,Pre-COVID
2016,5,LNG (271111),4731982517.714,73511087377.91,0.06437100424576164,Pre-COVID
2016,6,Gaseous NG (271121),6287547592.229,99237569017.675,0.06335854106935185,Pre-COVID
2016,6,LNG (271111),5088719559.406,73511087377.91,0.06922383739537982,Pre-COVID
2016,7,Gaseous NG (271121),6990816327.726999,99237569017.675,0.0704452597632846,Pre-COVID
2016,7,LNG (271111),5137722598.245,73511087377.91,0.06989044484994082,Pre-COVID
2016,8,Gaseous NG (271121),7702893051.767,99237569017.675,0.07762073505040266,Pre-COVID
2016,8,LNG (271111),5944357623.711,73511087377.91,0.08086341578858583,Pre-COVID
2016,9,Gaseous NG (271121),7491357721.797,99237569017.675,0.07548912973132917,Pre-COVID
2016,9,LNG (271111),6223568181.449,73511087377.91,0.08466162593207913,Pre-COVID
2016,10,Gaseous NG (271121),8735166540.188,99237569017.675,0.08802277833541244,Pre-COVID
2016,10,LNG (271111),6050053732.335,73511087377.91,0.0823012411887276,Pre-COVID
